dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u,methodologie,constraint_ok_count,d_positive_count,b_positive_count,model_family,n_input_features,n_parameters_for_aicc,features,cv_std,negative_r2_tau_u,aicc_tau_u,rank_rmse_tau_u,rank_neg_r2_tau_u,rank_aicc_tau_u,rank_cv_std,score_balanced,rank_balanced,score_performance_only,rank_performance_only,score_stability_reinforced,rank_stability_reinforced,score_variant
LOW_1,LOW_1_poly_rank_4,160,1.9968023136123256,0.9381998232725312,1.9968023136123256,0.9340841851211896,3.7704708808143863,0.909548763747293,0.0979609312838429,0.0450896933268495,0.0107373596989903,0.7514101880022376,160,0.9745939602821376,methodologie_1,,,,polynomial,5,21,tau_r_div_tau_p + tau_p_div_sigma_n + tau_peak_MPa_csds + u_p_div_u_r + u_p_div_tau_p,0.0158881815117509,-0.9745939602821376,-74299.91145581838,1.0,1.0,1.0,2.0,1.25,1.0,1.0,1.0,1.4000000000000001,1.0,performance_only
LOW_2,LOW_2_poly_rank_3,69,3.533205568755355,0.9781934564143756,3.5332055687553554,0.9779734637844262,0.5490930750421357,0.9836340124111638,0.3009472381985419,0.1715660413538136,0.0685427529284825,1.0477299962773916,69,0.8930107785626604,methodologie_1,,,,polynomial,4,15,tau_r_div_tau_p + u_r_div_u_p + u_p_div_u_r + tau_peak_MPa_csds,0.050494250874256,-0.8930107785626604,-16541.250661152062,1.0,1.0,1.0,2.0,1.25,1.0,1.0,1.0,1.4000000000000001,1.0,performance_only
FULL,FULL_direct_poly_rank_4,299,27.47902703403605,0.8869758996064219,27.479027034036037,0.882356651299184,4.273053278806218,0.8068322866305868,0.0652176899718785,0.0322245232757237,0.008244553309187,0.4042287427322675,299,0.9998682829613053,methodologie_2,299.0,299.0,299.0,polynomial,5,21,u_r_mm + sigma_n_x_u_r + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,0.0103102433207574,-0.9998682829613053,-163213.43586434273,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.6,3.0,performance_only
HIGH,HIGH_direct_poly_rank_3,67,69.57605680196689,0.8081306758998109,69.57605680196684,0.8086527074375186,0.3213527165239805,0.9844296993650868,0.2270784727674752,0.1001536830932374,0.040583517102727,1.4758695770194958,67,0.9970862900048504,methodologie_2,67.0,67.0,67.0,polynomial,4,15,delta_peak_mm + u_r_estimated + u_r_div_u_p + tau_r_div_tau_p,0.0154276231009192,-0.9970862900048504,-19834.88717817756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,performance_only
LOW_1,LOW_1_direct_poly_rank_4,163,1.5747060361043983,0.9609246011839018,1.5747060361043987,0.9583028210102436,5.975092866080632,0.7694608708690459,0.0079929061706406,0.0042769680657678,0.0009820533455085,0.0357729708183005,163,0.9998294755206418,methodologie_2,163.0,163.0,163.0,polynomial,6,28,delta_peak_mm + tau_r_MPa + u_r_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r,0.0256935158951277,-0.9998294755206418,-157375.8482052892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,performance_only
LOW_2,LOW_2_direct_poly_rank_3,69,1.961221976921992,0.9932810327587506,1.961221976921992,0.9932132492850358,0.2433650592474053,0.9967851054326472,0.0117360620142966,0.0096077200214667,0.0089820546228547,0.0345175168954561,69,0.9998372938030016,methodologie_2,69.0,69.0,69.0,polynomial,5,21,u_p_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_r_div_u_p,0.0207708915063805,-0.9998372938030016,-61300.09322447004,1.0,1.0,1.0,10.0,3.25,2.0,1.0,1.0,4.6,3.0,performance_only
FULL,FULL_poly_rank_2,285,43.27851545652241,0.7322379729908819,43.27851545652239,0.7212595032642446,4.294548434312884,0.7819225056433291,0.7267019941009809,0.3097372894636448,0.0892833811245962,5.23356829100102,285,0.9836198424192154,methodologie_1,,,,polynomial,5,21,u_r_div_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r + u_r_mm,0.0073748858715927,-0.9836198424192154,-18154.57900077211,1.0,1.0,1.0,2.0,1.25,1.0,1.0,1.0,1.4000000000000001,1.0,stability_reinforced
HIGH,HIGH_poly_rank_1,61,149.94344475798067,0.1776155511200009,149.94344475798064,0.1796293661224994,0.8989180486186886,0.8756272441009849,1.538342266850078,1.0648086296987889,0.601076337711906,5.235767409072749,61,0.8681515669520566,methodologie_1,,,,polynomial,3,10,tau_p_div_u_p + tau_r_div_u_r + tau_p_div_u_r,0.0284679302929621,-0.8681515669520566,5274.641846511476,2.0,2.0,1.0,1.0,1.6500000000000001,1.0,2.0,2.0,1.5500000000000003,1.0,stability_reinforced
LOW_1,LOW_1_poly_rank_4,160,1.9968023136123256,0.9381998232725312,1.9968023136123256,0.9340841851211896,3.7704708808143863,0.909548763747293,0.0979609312838429,0.0450896933268495,0.0107373596989903,0.7514101880022376,160,0.9745939602821376,methodologie_1,,,,polynomial,5,21,tau_r_div_tau_p + tau_p_div_sigma_n + tau_peak_MPa_csds + u_p_div_u_r + u_p_div_tau_p,0.0158881815117509,-0.9745939602821376,-74299.91145581838,1.0,1.0,1.0,2.0,1.25,1.0,1.0,1.0,1.4000000000000001,1.0,stability_reinforced
LOW_2,LOW_2_poly_rank_3,69,3.533205568755355,0.9781934564143756,3.5332055687553554,0.9779734637844262,0.5490930750421357,0.9836340124111638,0.3009472381985419,0.1715660413538136,0.0685427529284825,1.0477299962773916,69,0.8930107785626604,methodologie_1,,,,polynomial,4,15,tau_r_div_tau_p + u_r_div_u_p + u_p_div_u_r + tau_peak_MPa_csds,0.050494250874256,-0.8930107785626604,-16541.250661152062,1.0,1.0,1.0,2.0,1.25,1.0,1.0,1.0,1.4000000000000001,1.0,stability_reinforced
FULL,FULL_direct_poly_rank_3,299,28.156147582843214,0.8813371370726681,28.156147582843197,0.8764874348693298,4.327640347324965,0.8018654351633192,0.087046543883513,0.0348434379357687,0.0085221431874863,1.0321408734875137,299,0.9997653534358866,methodologie_2,299.0,299.0,299.0,polynomial,5,21,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,0.0083836834574265,-0.9997653534358866,-145948.44558391327,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,stability_reinforced
HIGH,HIGH_direct_poly_rank_3,67,69.57605680196689,0.8081306758998109,69.57605680196684,0.8086527074375186,0.3213527165239805,0.9844296993650868,0.2270784727674752,0.1001536830932374,0.040583517102727,1.4758695770194958,67,0.9970862900048504,methodologie_2,67.0,67.0,67.0,polynomial,4,15,delta_peak_mm + u_r_estimated + u_r_div_u_p + tau_r_div_tau_p,0.0154276231009192,-0.9970862900048504,-19834.88717817756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,stability_reinforced
LOW_1,LOW_1_direct_poly_rank_4,163,1.5747060361043983,0.9609246011839018,1.5747060361043987,0.9583028210102436,5.975092866080632,0.7694608708690459,0.0079929061706406,0.0042769680657678,0.0009820533455085,0.0357729708183005,163,0.9998294755206418,methodologie_2,163.0,163.0,163.0,polynomial,6,28,delta_peak_mm + tau_r_MPa + u_r_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r,0.0256935158951277,-0.9998294755206418,-157375.8482052892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,stability_reinforced
LOW_2,LOW_2_direct_poly_rank_5,69,1.697369581838904,0.9949672906306628,1.6973695818389043,0.994916518761862,0.3316537393626841,0.994029371070668,0.0168272546761106,0.0135915373495676,0.0118340362372734,0.0420089465919669,69,0.9996655079206478,methodologie_2,69.0,69.0,69.0,polynomial,5,21,u_r_mm + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_r_div_u_p,0.0032754596052871,-0.9996655079206478,-56327.49024671253,3.0,3.0,3.0,1.0,2.5,1.0,2.9999999999999996,3.0,2.2,1.0,stability_reinforced
